query,value
行业:服务 业态:共享租赁 品类:共享用品 口碑分上四分位数,3.70
行业:服务 业态:共享租赁 品类:共享用品 口碑分下四分位数,3.40
行业:服务 业态:共享租赁 品类:共享用品 月均营业额（投后）平均数,\N
行业:服务 业态:共享租赁 品类:共享用品 月均营业额（投后）中位数,\N
行业:服务 业态:共享租赁 品类:共享用品 月均营业额（投后）上四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 月均营业额（投后）下四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 月均营业额（企业填报）平均数,\N
行业:服务 业态:共享租赁 品类:共享用品 月均营业额（企业填报）中位数,\N
行业:服务 业态:共享租赁 品类:共享用品 月均营业额（企业填报）上四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 月均营业额（企业填报）下四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 租售比（企业填报）平均数,\N
行业:服务 业态:共享租赁 品类:共享用品 租售比（企业填报）中位数,\N
行业:服务 业态:共享租赁 品类:共享用品 租售比（企业填报）上四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 租售比（企业填报）下四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 租售比（投后）平均数,\N
行业:服务 业态:共享租赁 品类:共享用品 租售比（投后）中位数,\N
行业:服务 业态:共享租赁 品类:共享用品 租售比（投后）上四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 租售比（投后）下四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 滴灌比（投后）平均数,\N
行业:服务 业态:共享租赁 品类:共享用品 滴灌比（投后）中位数,\N
行业:服务 业态:共享租赁 品类:共享用品 滴灌比（投后）上四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 滴灌比（投后）下四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 滴灌比（企业填报）平均数,\N
行业:服务 业态:共享租赁 品类:共享用品 滴灌比（企业填报）中位数,\N
行业:服务 业态:共享租赁 品类:共享用品 滴灌比（企业填报）上四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 滴灌比（企业填报）下四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 品牌存续年限平均数,\N
行业:服务 业态:共享租赁 品类:共享用品 品牌存续年限中位数,\N
行业:服务 业态:共享租赁 品类:共享用品 品牌存续年限上四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 品牌存续年限下四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 累计开店数平均数,\N
行业:服务 业态:共享租赁 品类:共享用品 累计开店数中位数,\N
行业:服务 业态:共享租赁 品类:共享用品 累计开店数上四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 累计开店数下四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 累计闭店数平均数,\N
行业:服务 业态:共享租赁 品类:共享用品 累计闭店数中位数,\N
行业:服务 业态:共享租赁 品类:共享用品 累计闭店数上四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 累计闭店数下四分位数,\N
行业:服务 业态:共享租赁 品类:共享用品 品类定义,通过机器自助取还的方式租用充电宝、雨伞、童车等用品，通常按照使用时长进行计费
行业:服务 业态:共享租赁 品类:共享用品 重点提示,1.共享按摩椅，请划分至“服务-共享租赁-共享按摩椅”/2.共享单车/共享电单车，请划分至“服务-交通服务-共享单车”/3.辅具租赁，包括共享陪护床、共享轮椅、共享担架/4.医疗设备服务，请划分至“服务-医疗健康-医疗设备服务”
行业:服务 业态:共享租赁 品类:共享用品 领先品牌特征,
行业:服务 业态:共享租赁 品类:共享用品 主要风险,
行业:服务 业态:共享租赁 品类:共享空间 品类下品牌数量,17
行业:服务 业态:共享租赁 品类:共享空间 人均消费（O2O）平均数,1244.20
行业:服务 业态:共享租赁 品类:共享空间 人均消费（O2O）中位数,130
行业:服务 业态:共享租赁 品类:共享空间 人均消费（O2O）上四分位数,888
行业:服务 业态:共享租赁 品类:共享空间 人均消费（O2O）下四分位数,43
行业:服务 业态:共享租赁 品类:共享空间 客单价平均数,\N
行业:服务 业态:共享租赁 品类:共享空间 客单价中位数,\N
行业:服务 业态:共享租赁 品类:共享空间 客单价上四分位数,\N
行业:服务 业态:共享租赁 品类:共享空间 客单价下四分位数,\N
行业:服务 业态:共享租赁 品类:共享空间 单店毛利润率平均数,\N
行业:服务 业态:共享租赁 品类:共享空间 单店毛利润率中位数,\N
行业:服务 业态:共享租赁 品类:共享空间 单店毛利润率上四分位数,\N
行业:服务 业态:共享租赁 品类:共享空间 单店毛利润率下四分位数,\N
行业:服务 业态:共享租赁 品类:共享空间 单店净利润率平均数,\N
行业:服务 业态:共享租赁 品类:共享空间 单店净利润率中位数,\N
行业:服务 业态:共享租赁 品类:共享空间 单店净利润率上四分位数,\N
行业:服务 业态:共享租赁 品类:共享空间 单店净利润率下四分位数,\N
行业:服务 业态:共享租赁 品类:共享空间 平均回本期平均数,\N
行业:服务 业态:共享租赁 品类:共享空间 平均回本期中位数,\N
行业:服务 业态:共享租赁 品类:共享空间 平均回本期上四分位数,\N
行业:服务 业态:共享租赁 品类:共享空间 平均回本期下四分位数,\N
行业:服务 业态:共享租赁 品类:共享空间 覆盖省份数（O2O）平均数,5.20
行业:服务 业态:共享租赁 品类:共享空间 覆盖省份数（O2O）上四分位数,4
行业:服务 业态:共享租赁 品类:共享空间 覆盖省份数（O2O）下四分位数,1
行业:服务 业态:共享租赁 品类:共享空间 覆盖省份数（企业填报）平均数,5
行业:服务 业态:共享租赁 品类:共享空间 覆盖省份数（企业填报）上四分位数,5
行业:服务 业态:共享租赁 品类:共享空间 覆盖省份数（企业填报）下四分位数,5
行业:服务 业态:共享租赁 品类:共享空间 覆盖城市数（O2O）平均数,6.40
行业:服务 业态:共享租赁 品类:共享空间 覆盖城市数（O2O）中位数,5
行业:服务 业态:共享租赁 品类:共享空间 覆盖城市数（O2O）上四分位数,10
行业:服务 业态:共享租赁 品类:共享空间 覆盖城市数（O2O）下四分位数,1
行业:服务 业态:共享租赁 品类:共享空间 覆盖城市数（企业填报）平均数,8
行业:服务 业态:共享租赁 品类:共享空间 覆盖城市数（企业填报）中位数,8
行业:服务 业态:共享租赁 品类:共享空间 覆盖城市数（企业填报）上四分位数,8
行业:服务 业态:共享租赁 品类:共享空间 覆盖城市数（企业填报）下四分位数,8
行业:服务 业态:共享租赁 品类:共享空间 月均坪效（投后）平均数,265.94
行业:服务 业态:共享租赁 品类:共享空间 月均坪效（投后）中位数,265.94
行业:服务 业态:共享租赁 品类:共享空间 月均坪效（投后）上四分位数,349.04
行业:服务 业态:共享租赁 品类:共享空间 月均坪效（投后）下四分位数,182.83
行业:服务 业态:共享租赁 品类:共享空间 月均坪效（企业填报）平均数,375
行业:服务 业态:共享租赁 品类:共享空间 月均坪效（企业填报）中位数,375
行业:服务 业态:共享租赁 品类:共享空间 月均坪效（企业填报）上四分位数,375
行业:服务 业态:共享租赁 品类:共享空间 月均坪效（企业填报）下四分位数,375
行业:服务 业态:共享租赁 品类:共享空间 口碑分平均数,4.19
行业:服务 业态:共享租赁 品类:共享空间 口碑分中位数,4.40
行业:服务 业态:共享租赁 品类:共享空间 口碑分上四分位数,4.60
行业:服务 业态:共享租赁 品类:共享空间 口碑分下四分位数,3.80
行业:服务 业态:共享租赁 品类:共享空间 月均营业额（投后）平均数,45666.33
行业:服务 业态:共享租赁 品类:共享空间 月均营业额（投后）中位数,45666.33
行业:服务 业态:共享租赁 品类:共享空间 月均营业额（投后）上四分位数,51193.06
行业:服务 业态:共享租赁 品类:共享空间 月均营业额（投后）下四分位数,40139.61
行业:服务 业态:共享租赁 品类:共享空间 月均营业额（企业填报）平均数,192952.33
行业:服务 业态:共享租赁 品类:共享空间 月均营业额（企业填报）中位数,192952.33
行业:服务 业态:共享租赁 品类:共享空间 月均营业额（企业填报）上四分位数,192952.33
行业:服务 业态:共享租赁 品类:共享空间 月均营业额（企业填报）下四分位数,192952.33
行业:服务 业态:共享租赁 品类:共享空间 租售比（企业填报）平均数,0.25
行业:服务 业态:共享租赁 品类:共享空间 租售比（企业填报）中位数,0.25
行业:服务 业态:共享租赁 品类:共享空间 租售比（企业填报）上四分位数,0.25
行业:服务 业态:共享租赁 品类:共享空间 租售比（企业填报）下四分位数,0.25
行业:服务 业态:共享租赁 品类:共享空间 租售比（投后）平均数,0.59
行业:服务 业态:共享租赁 品类:共享空间 租售比（投后）中位数,0.59
行业:服务 业态:共享租赁 品类:共享空间 租售比（投后）上四分位数,0.82
行业:服务 业态:共享租赁 品类:共享空间 租售比（投后）下四分位数,0.35
行业:服务 业态:共享租赁 品类:共享空间 滴灌比（投后）平均数,86.78
行业:服务 业态:共享租赁 品类:共享空间 滴灌比（投后）中位数,86.78
行业:服务 业态:共享租赁 品类:共享空间 滴灌比（投后）上四分位数,131.61
行业:服务 业态:共享租赁 品类:共享空间 滴灌比（投后）下四分位数,41.96
行业:服务 业态:共享租赁 品类:共享空间 滴灌比（企业填报）平均数,41.10
行业:服务 业态:共享租赁 品类:共享空间 滴灌比（企业填报）中位数,41.10
行业:服务 业态:共享租赁 品类:共享空间 滴灌比（企业填报）上四分位数,41.10
行业:服务 业态:共享租赁 品类:共享空间 滴灌比（企业填报）下四分位数,41.10
行业:服务 业态:共享租赁 品类:共享空间 品牌存续年限平均数,3.03
行业:服务 业态:共享租赁 品类:共享空间 品牌存续年限中位数,3.03
行业:服务 业态:共享租赁 品类:共享空间 品牌存续年限上四分位数,3.03
行业:服务 业态:共享租赁 品类:共享空间 品牌存续年限下四分位数,3.03
行业:服务 业态:共享租赁 品类:共享空间 累计开店数平均数,22
行业:服务 业态:共享租赁 品类:共享空间 累计开店数中位数,22
行业:服务 业态:共享租赁 品类:共享空间 累计开店数上四分位数,22
行业:服务 业态:共享租赁 品类:共享空间 累计开店数下四分位数,22
行业:服务 业态:共享租赁 品类:共享空间 累计闭店数平均数,0
行业:服务 业态:共享租赁 品类:共享空间 累计闭店数中位数,0
行业:服务 业态:共享租赁 品类:共享空间 累计闭店数上四分位数,0
行业:服务 业态:共享租赁 品类:共享空间 累计闭店数下四分位数,0
行业:服务 业态:共享租赁 品类:共享空间 品类定义,提供付费享受空间服务，通常以使用时长计费（如：共享办公室、共享茶空间）
行业:服务 业态:共享租赁 品类:共享空间 重点提示,nan
行业:服务 业态:共享租赁 品类:共享空间 品牌发展趋势,nan
行业:服务 业态:共享租赁 品类:共享空间 领先品牌特征,
行业:服务 业态:共享租赁 品类:共享空间 主要风险,法律风险基于相关法律或合同等规定企业品牌存在的所有潜在负面法律责任或后果监管风险由于法规或监管规定的变化可能影响商业企业品牌正常运营或消弱其竞争力生存能力的风险
行业:服务 业态:居民服务 品类:养老服务 品类下品牌数量,40
行业:服务 业态:居民服务 品类:养老服务 人均消费（O2O）平均数,10750.86
行业:服务 业态:居民服务 品类:养老服务 人均消费（O2O）中位数,5055
行业:服务 业态:居民服务 品类:养老服务 人均消费（O2O）上四分位数,8475
行业:服务 业态:居民服务 品类:养老服务 人均消费（O2O）下四分位数,2715
行业:服务 业态:居民服务 品类:养老服务 客单价平均数,3980
行业:服务 业态:居民服务 品类:养老服务 客单价中位数,3980
行业:服务 业态:居民服务 品类:养老服务 客单价上四分位数,3980
行业:服务 业态:居民服务 品类:养老服务 客单价下四分位数,3980
行业:服务 业态:居民服务 品类:养老服务 单店毛利润率平均数,0.27
行业:服务 业态:居民服务 品类:养老服务 单店毛利润率中位数,0.27
行业:服务 业态:居民服务 品类:养老服务 单店毛利润率上四分位数,0.27
行业:服务 业态:居民服务 品类:养老服务 单店毛利润率下四分位数,0.27
行业:服务 业态:居民服务 品类:养老服务 单店净利润率平均数,0.07
行业:服务 业态:居民服务 品类:养老服务 单店净利润率中位数,0.07
行业:服务 业态:居民服务 品类:养老服务 单店净利润率上四分位数,0.07
行业:服务 业态:居民服务 品类:养老服务 单店净利润率下四分位数,0.07
行业:服务 业态:居民服务 品类:养老服务 平均回本期平均数,43.43
行业:服务 业态:居民服务 品类:养老服务 平均回本期中位数,43.43
行业:服务 业态:居民服务 品类:养老服务 平均回本期上四分位数,43.43
行业:服务 业态:居民服务 品类:养老服务 平均回本期下四分位数,43.43
行业:服务 业态:居民服务 品类:养老服务 覆盖省份数（O2O）平均数,1.75
行业:服务 业态:居民服务 品类:养老服务 覆盖省份数（O2O）上四分位数,1
行业:服务 业态:居民服务 品类:养老服务 覆盖省份数（O2O）下四分位数,1
行业:服务 业态:居民服务 品类:养老服务 覆盖省份数（企业填报）平均数,3.33
行业:服务 业态:居民服务 品类:养老服务 覆盖省份数（企业填报）上四分位数,1
行业:服务 业态:居民服务 品类:养老服务 覆盖省份数（企业填报）下四分位数,1
行业:服务 业态:居民服务 品类:养老服务 覆盖城市数（O2O）平均数,1.79
行业:服务 业态:居民服务 品类:养老服务 覆盖城市数（O2O）中位数,1
行业:服务 业态:居民服务 品类:养老服务 覆盖城市数（O2O）上四分位数,2
行业:服务 业态:居民服务 品类:养老服务 覆盖城市数（O2O）下四分位数,1
行业:服务 业态:居民服务 品类:养老服务 覆盖城市数（企业填报）平均数,4.67
行业:服务 业态:居民服务 品类:养老服务 覆盖城市数（企业填报）中位数,3
行业:服务 业态:居民服务 品类:养老服务 覆盖城市数（企业填报）上四分位数,6.50
行业:服务 业态:居民服务 品类:养老服务 覆盖城市数（企业填报）下四分位数,2
行业:服务 业态:居民服务 品类:养老服务 月均坪效（投后）平均数,200.47
行业:服务 业态:居民服务 品类:养老服务 月均坪效（投后）中位数,200.21
行业:服务 业态:居民服务 品类:养老服务 月均坪效（投后）上四分位数,241.58
行业:服务 业态:居民服务 品类:养老服务 月均坪效（投后）下四分位数,143.33
行业:服务 业态:居民服务 品类:养老服务 月均坪效（企业填报）平均数,1833.84
行业:服务 业态:居民服务 品类:养老服务 月均坪效（企业填报）中位数,262.86
行业:服务 业态:居民服务 品类:养老服务 月均坪效（企业填报）上四分位数,2718.54
行业:服务 业态:居民服务 品类:养老服务 月均坪效（企业填报）下四分位数,163.66
行业:服务 业态:居民服务 品类:养老服务 口碑分平均数,3.62
行业:服务 业态:居民服务 品类:养老服务 口碑分中位数,3.50
行业:服务 业态:居民服务 品类:养老服务 口碑分上四分位数,3.60
行业:服务 业态:居民服务 品类:养老服务 口碑分下四分位数,3.50
行业:服务 业态:居民服务 品类:养老服务 月均营业额（投后）平均数,126690.70
行业:服务 业态:居民服务 品类:养老服务 月均营业额（投后）中位数,90299.90
行业:服务 业态:居民服务 品类:养老服务 月均营业额（投后）上四分位数,163379.33
行业:服务 业态:居民服务 品类:养老服务 月均营业额（投后）下四分位数,74155.45
行业:服务 业态:居民服务 品类:养老服务 月均营业额（企业填报）平均数,400945.19
行业:服务 业态:居民服务 品类:养老服务 月均营业额（企业填报）中位数,248822.50
行业:服务 业态:居民服务 品类:养老服务 月均营业额（企业填报）上四分位数,601382.58
行业:服务 业态:居民服务 品类:养老服务 月均营业额（企业填报）下四分位数,124446.46
行业:服务 业态:居民服务 品类:养老服务 租售比（企业填报）平均数,0.08
行业:服务 业态:居民服务 品类:养老服务 租售比（企业填报）中位数,0.08
行业:服务 业态:居民服务 品类:养老服务 租售比（企业填报）上四分位数,0.12
行业:服务 业态:居民服务 品类:养老服务 租售比（企业填报）下四分位数,0.04
行业:服务 业态:居民服务 品类:养老服务 租售比（投后）平均数,0.13
行业:服务 业态:居民服务 品类:养老服务 租售比（投后）中位数,0.12
行业:服务 业态:居民服务 品类:养老服务 租售比（投后）上四分位数,0.19
行业:服务 业态:居民服务 品类:养老服务 租售比（投后）下四分位数,0.08
行业:服务 业态:居民服务 品类:养老服务 滴灌比（投后）平均数,182.61
行业:服务 业态:居民服务 品类:养老服务 滴灌比（投后）中位数,91.94
行业:服务 业态:居民服务 品类:养老服务 滴灌比（投后）上四分位数,245.88
行业:服务 业态:居民服务 品类:养老服务 滴灌比（投后）下四分位数,84.80
行业:服务 业态:居民服务 品类:养老服务 滴灌比（企业填报）平均数,584.30
行业:服务 业态:居民服务 品类:养老服务 滴灌比（企业填报）中位数,50.41
行业:服务 业态:居民服务 品类:养老服务 滴灌比（企业填报）上四分位数,865.24
行业:服务 业态:居民服务 品类:养老服务 滴灌比（企业填报）下四分位数,36.41
行业:服务 业态:居民服务 品类:养老服务 品牌存续年限平均数,7.55
行业:服务 业态:居民服务 品类:养老服务 品牌存续年限中位数,7.78
行业:服务 业态:居民服务 品类:养老服务 品牌存续年限上四分位数,9.13
行业:服务 业态:居民服务 品类:养老服务 品牌存续年限下四分位数,4.88
行业:服务 业态:居民服务 品类:养老服务 累计开店数平均数,13.67
行业:服务 业态:居民服务 品类:养老服务 累计开店数中位数,8
行业:服务 业态:居民服务 品类:养老服务 累计开店数上四分位数,18.50
行业:服务 业态:居民服务 品类:养老服务 累计开店数下四分位数,6
行业:服务 业态:居民服务 品类:养老服务 累计闭店数平均数,2
行业:服务 业态:居民服务 品类:养老服务 累计闭店数中位数,0
行业:服务 业态:居民服务 品类:养老服务 累计闭店数上四分位数,3
行业:服务 业态:居民服务 品类:养老服务 累计闭店数下四分位数,0
行业:服务 业态:居民服务 品类:养老服务 品类定义,为老年人提供必要的生活服务，满足其物质生活和精神生活的基本需求（如：医疗照料服务、优待维权服务、家务劳动服务）
行业:服务 业态:居民服务 品类:养老服务 重点提示,nan
行业:服务 业态:居民服务 品类:养老服务 品牌发展趋势,"1、驱动因素：
（1）需求侧：
a.根据2020年人口普查结果，中国65岁及以上人口占比13.5%，预计2030年中国60岁以上老人占比将达到25%左右，可能成为世界上老龄化最严重的国家。
b.农村青壮年劳动力大量流入城镇求学、工作，加速了农村老龄化进程；城市老人情况同样不佳，子女异地工作、出国学习已成常态，结婚后与父母分居比例高达三分之二。空巢老人的身体健康、心理健康和生活照料都急需专业的养老服务解决。
c.首批中产阶级步入退休阶段：指改革开发后首批通过自身努力留有一定积蓄的群体，集中在50岁至65岁区间。此群体具有积蓄较多、社会负担小，有较高的消费能力等特征。他们能够负担得起改善退休后生活状况的经济能力，将为养老市场注入较强动力。
（2）供给侧：截止2020年，我国每千人拥有养老床位33张，远低于发达国家50-70张/千人的水平。且养老机构良莠不齐，缺乏连锁品牌。
（3）政策支持：国务院2019年出台《国家积极应对人口老龄化中长期规划》，2021年出台《国民经济和社会发展2035年远景目标纲要》，将养老问题提升至国家战略。

2、竞争格局：中国提出“9073”养老模式，即90%居家养老，7%社区养老，3%机构养老。
社区养老（持续照料中心CCHC）又分为专病类与普通类。

3、客户画像：
（1）专病类的社区养老机构主要为相应患者在出院调养、身体虚弱、子女不方便照顾时提供生活护理与健康监测服务（爱照护的客群为认知症患者）。
（2）春节是旺季，因为保姆回家。

4、商业模式：
（1）门店合作模式：在政府对社区进行养老机构入驻规划后以竞标形式获得入驻权；在竞标前，企业对社区高龄人群（70或80岁以上）、失能失智的比例进行调研，择优竞标。
（2）获客模式：通过向医院提供研究数据、共同参与课题研究等与三甲医院合作，以及给医生提成来推荐病患入驻社区养老机构（爱照护客源63%来自医院：精卫中心、华山、海军大）。
（3）收入模式：主要为顾客自费，对于提供43项康复训练的服务的收入为医保“长护险”（爱照护的比例为3:1，长护险为居家服务）。

5、发展趋势：（1）""医养结合”将更加紧密（2）养老机构精细化管理（3）智慧化。"
行业:服务 业态:居民服务 品类:养老服务 领先品牌特征,竞标优势规模化有较为成熟的运营经验与成功案例智慧化通过智能硬件和移动互联网监测并实时反馈体征指标渠道力有丰富的端资源如三甲医院作为稳定的客户推荐来源服务能力通过护理人员的标准化贴心服务打造口碑形成老顾客的转介绍和复购与社区附近的二级医院区级医院建立合作关系方便顾客按需就近及时就诊多场景打造社区养老与居家养老的闭环通过智能硬件进行健康管理紧急救援精神慰籍等服务增加客户粘性
行业:服务 业态:居民服务 品类:养老服务 主要风险,法律风险基于相关法律或合同等规定企业品牌存在的所有潜在负面法律责任或后果监管风险由于法规或监管规定的变化可能影响商业企业品牌正常运营或消弱其竞争力生存能力的风险其他风险人口老龄化加速发展基本养老金储备不足问题加剧其他风险声誉风险照护期间因工作人员疏忽导致老人健康状况恶化甚至死亡其他风险合规风险为获得社区中标资格向政府官员进行利益输送
行业:零售 业态:服装鞋包 品类:内衣 品类下品牌数量,77
行业:零售 业态:服装鞋包 品类:内衣 人均消费（O2O）平均数,429.92
行业:零售 业态:服装鞋包 品类:内衣 人均消费（O2O）中位数,145
行业:零售 业态:服装鞋包 品类:内衣 人均消费（O2O）上四分位数,486
行业:零售 业态:服装鞋包 品类:内衣 人均消费（O2O）下四分位数,64
行业:零售 业态:服装鞋包 品类:内衣 客单价平均数,219.86
行业:零售 业态:服装鞋包 品类:内衣 客单价中位数,219.86
行业:零售 业态:服装鞋包 品类:内衣 客单价上四分位数,295.31
行业:零售 业态:服装鞋包 品类:内衣 客单价下四分位数,144.42
行业:零售 业态:服装鞋包 品类:内衣 单店毛利润率平均数,0.60
行业:零售 业态:服装鞋包 品类:内衣 单店毛利润率中位数,0.60
行业:零售 业态:服装鞋包 品类:内衣 单店毛利润率上四分位数,0.64
行业:零售 业态:服装鞋包 品类:内衣 单店毛利润率下四分位数,0.56
行业:零售 业态:服装鞋包 品类:内衣 单店净利润率平均数,0.21
行业:零售 业态:服装鞋包 品类:内衣 单店净利润率中位数,0.21
行业:零售 业态:服装鞋包 品类:内衣 单店净利润率上四分位数,0.24
行业:零售 业态:服装鞋包 品类:内衣 单店净利润率下四分位数,0.18
行业:零售 业态:服装鞋包 品类:内衣 平均回本期平均数,16.38
行业:零售 业态:服装鞋包 品类:内衣 平均回本期中位数,16.38
行业:零售 业态:服装鞋包 品类:内衣 平均回本期上四分位数,17.43
行业:零售 业态:服装鞋包 品类:内衣 平均回本期下四分位数,15.33
行业:零售 业态:服装鞋包 品类:内衣 覆盖省份数（O2O）平均数,9.43
行业:零售 业态:服装鞋包 品类:内衣 覆盖省份数（O2O）上四分位数,7
行业:零售 业态:服装鞋包 品类:内衣 覆盖省份数（O2O）下四分位数,1
行业:零售 业态:服装鞋包 品类:内衣 覆盖省份数（企业填报）平均数,5.75
行业:零售 业态:服装鞋包 品类:内衣 覆盖省份数（企业填报）上四分位数,5.50
行业:零售 业态:服装鞋包 品类:内衣 覆盖省份数（企业填报）下四分位数,4
行业:零售 业态:服装鞋包 品类:内衣 覆盖城市数（O2O）平均数,31.56
行业:零售 业态:服装鞋包 品类:内衣 覆盖城市数（O2O）中位数,11
行业:零售 业态:服装鞋包 品类:内衣 覆盖城市数（O2O）上四分位数,38.50
行业:零售 业态:服装鞋包 品类:内衣 覆盖城市数（O2O）下四分位数,2
行业:零售 业态:服装鞋包 品类:内衣 覆盖城市数（企业填报）平均数,73.25
行业:零售 业态:服装鞋包 品类:内衣 覆盖城市数（企业填报）中位数,28.50
行业:零售 业态:服装鞋包 品类:内衣 覆盖城市数（企业填报）上四分位数,96.25
行业:零售 业态:服装鞋包 品类:内衣 覆盖城市数（企业填报）下四分位数,5.50
行业:零售 业态:服装鞋包 品类:内衣 月均坪效（投后）平均数,1167.87
行业:零售 业态:服装鞋包 品类:内衣 月均坪效（投后）中位数,1151.88
行业:零售 业态:服装鞋包 品类:内衣 月均坪效（投后）上四分位数,1493.78
行业:零售 业态:服装鞋包 品类:内衣 月均坪效（投后）下四分位数,655.27
行业:零售 业态:服装鞋包 品类:内衣 月均坪效（企业填报）平均数,946.57
行业:零售 业态:服装鞋包 品类:内衣 月均坪效（企业填报）中位数,1008.43
行业:零售 业态:服装鞋包 品类:内衣 月均坪效（企业填报）上四分位数,1186.00
行业:零售 业态:服装鞋包 品类:内衣 月均坪效（企业填报）下四分位数,707.14
行业:零售 业态:服装鞋包 品类:内衣 口碑分平均数,3.48
行业:零售 业态:服装鞋包 品类:内衣 口碑分中位数,3.50
行业:零售 业态:服装鞋包 品类:内衣 口碑分上四分位数,3.50
行业:零售 业态:服装鞋包 品类:内衣 口碑分下四分位数,3.50
行业:零售 业态:服装鞋包 品类:内衣 月均营业额（投后）平均数,92957.33
行业:零售 业态:服装鞋包 品类:内衣 月均营业额（投后）中位数,91843.35
行业:零售 业态:服装鞋包 品类:内衣 月均营业额（投后）上四分位数,128457.37
行业:零售 业态:服装鞋包 品类:内衣 月均营业额（投后）下四分位数,59723.12
行业:零售 业态:服装鞋包 品类:内衣 月均营业额（企业填报）平均数,39167724.25
行业:零售 业态:服装鞋包 品类:内衣 月均营业额（企业填报）中位数,5106676.77
行业:零售 业态:服装鞋包 品类:内衣 月均营业额（企业填报）上四分位数,57484286.36
行业:零售 业态:服装鞋包 品类:内衣 月均营业额（企业填报）下四分位数,3820638.40
行业:零售 业态:服装鞋包 品类:内衣 租售比（企业填报）平均数,0.16
行业:零售 业态:服装鞋包 品类:内衣 租售比（企业填报）中位数,0.14
行业:零售 业态:服装鞋包 品类:内衣 租售比（企业填报）上四分位数,0.20
行业:零售 业态:服装鞋包 品类:内衣 租售比（企业填报）下四分位数,0.12
行业:零售 业态:服装鞋包 品类:内衣 租售比（投后）平均数,0.16
行业:零售 业态:服装鞋包 品类:内衣 租售比（投后）中位数,0.10
行业:零售 业态:服装鞋包 品类:内衣 租售比（投后）上四分位数,0.19
行业:零售 业态:服装鞋包 品类:内衣 租售比（投后）下四分位数,0.08
行业:零售 业态:服装鞋包 品类:内衣 滴灌比（投后）平均数,412.69
行业:零售 业态:服装鞋包 品类:内衣 滴灌比（投后）中位数,429.06
行业:零售 业态:服装鞋包 品类:内衣 滴灌比（投后）上四分位数,547.62
行业:零售 业态:服装鞋包 品类:内衣 滴灌比（投后）下四分位数,278.69
行业:零售 业态:服装鞋包 品类:内衣 滴灌比（企业填报）平均数,116.08
行业:零售 业态:服装鞋包 品类:内衣 滴灌比（企业填报）中位数,112.14
行业:零售 业态:服装鞋包 品类:内衣 滴灌比（企业填报）上四分位数,146.60
行业:零售 业态:服装鞋包 品类:内衣 滴灌比（企业填报）下四分位数,85.56
行业:零售 业态:服装鞋包 品类:内衣 品牌存续年限平均数,9.60
行业:零售 业态:服装鞋包 品类:内衣 品牌存续年限中位数,8.70
行业:零售 业态:服装鞋包 品类:内衣 品牌存续年限上四分位数,13.05
行业:零售 业态:服装鞋包 品类:内衣 品牌存续年限下四分位数,6.32
行业:零售 业态:服装鞋包 品类:内衣 累计开店数平均数,869
行业:零售 业态:服装鞋包 品类:内衣 累计开店数中位数,207.50
行业:零售 业态:服装鞋包 品类:内衣 累计开店数上四分位数,1052.75
行业:零售 业态:服装鞋包 品类:内衣 累计开店数下四分位数,23.75
行业:零售 业态:服装鞋包 品类:内衣 累计闭店数平均数,115.25
行业:零售 业态:服装鞋包 品类:内衣 累计闭店数中位数,32
行业:零售 业态:服装鞋包 品类:内衣 累计闭店数上四分位数,142.75
行业:零售 业态:服装鞋包 品类:内衣 累计闭店数下四分位数,4.50
行业:零售 业态:服装鞋包 品类:内衣 品类定义,以售卖男士/女士/儿童内衣以及睡衣为主的场所
行业:零售 业态:服装鞋包 品类:内衣 重点提示,1.运动内衣，请划分至“零售-服装鞋包-运动鞋服”/2.本品类含睡衣裤、家居服
